	widetype	widetype	widetype_nitrogen	widetype_nitrogen	GapB	GapB	YtsJ	YtsJ	ytsJ/gapB	ytsJ/gapB
HEX1	8.2	100	2.4	100	2.6	100	2.2	100	1.7	100
PGI	5.16	63	0.8	36	1.1	42	1.0	47	0.6	37
PFK	6.56	80	1.9	79	2.1	81	1.8	82	1.3	79
FBA	6.56	80	1.9	79	2.1	81	1.8	82	1.3	79
TPI	6.56	80	1.9	79	2.1	81	1.8	82	1.3	79
GAPD	13.61	166	4.2	179	4.6	181	4.1	182	3.0	179
PGK	13.61	166	4.2	179	4.6	181	4.1	182	3.0	179
PGM	13.61	166	4.2	179	4.6	181	4.1	182	3.0	179
ENO	11.8	144	4.2	179	4.6	181	4.1	182	3.0	179
PYK	11.07	135	5.2	221	5.2	203	5.0	223	3.1	181
G6PDH2r	2.87	35	1.5	64	1.5	58	1.2	53	1.1	63
PGL	2.87	35	1.5	64	1.5	58	1.2	53	1.1	63
GND	2.87	35	1.5	64	1.5	58	1.2	53	1.1	63
RPI	2.87	35	1.5	64	1.5	58	1.2	53	1.1	63
TKT2	0.49	6	0.5	21	0.5	19	0.4	18	0.4	21
RPE	0.49	6	0.5	21	0.5	19	0.4	18	0.4	21
TKT1	0.9	11	0.5	21	0.5	19	0.4	18	0.4	21
TALA	0.9	11	0.5	21	0.5	19	0.4	18	0.4	21
PDH	5.65	69	2.5	107	2.3	91	2.1	94	1.4	80
CS	2.13	26	2.5	107	2.3	91	2.1	94	1.4	80
ACONT	2.13	26	2.5	107	2.3	91	2.1	94	1.4	80
ICDHyr	2.13	26	2.3	97	2.0	78	1.9	86	0.7	41
SSALy	1.14	14	2.3	97	1.9	76	1.9	83	0.7	41
ABTA	1.14	14	2.3	97	1.9	76	1.9	83	0.7	41
FUM	1.14	14	1.1	47	0.9	36	0.9	41	0.3	19
SUCD1	1.14	14	1.1	47	0.9	36	0.9	41	0.3	19
MDH	1.14	14	2.2	94	1.8	70	1.8	81	0.6	36
PC	2.7	33	1.3	56	1.1	43	1.2	54	0.8	45
PPCK	0	0	1.0	42	0.6	22	0.9	40	0.0	2
MALDDH	0.003	0	0.0	0	0.1	2	0.0	0	0.0	0.01
ACLS	2.34	29	0.7	29	0.9	35	0.8	37	0.5	28
ACLDC	0	0	0.7	29	0.9	35	0.8	37	0.5	28
